,P1,P2
295,P28482,P34741
296,P28482,O14746
297,P28482,P19878
298,P28482,P22455
299,P28482,Q15185
300,P28482,O14939
301,P28482,P42574
302,P28482,P03372
303,P28482,P28702
304,P28482,P60568
305,P28482,P10636
306,P28482,Q15759
307,P28482,P10826
308,P28482,O95644
309,P28482,P10828
310,P28482,P19634
311,P28482,P05771
312,P28482,Q16665
313,P28482,P19793
314,P28482,P24941
315,P28482,P47712
316,P28482,Q02156
317,P28482,P05231
318,P28482,P13631
319,P28482,P01106
320,P28482,P08069
321,P28482,Q02750
322,P28482,P31785
323,P28482,P04150
324,P28482,P51812
325,P28482,P04054
326,P28482,Q92731
327,P14784,P45983
328,P28482,P06239
329,P14784,P31785
330,P14784,P45984
331,P14784,Q16539
332,P14784,Q05513
333,P14784,P27986
334,P14784,Q16739
335,P14784,P04234
336,P14784,P60568
337,P14784,P27361
338,P14784,P17405
339,P14784,Q15759
340,P14784,P06241
341,P14784,P52333
342,P14784,P31749
343,P14784,P06239
344,P14784,P23458
345,P14784,P51692
346,P14784,P01579
347,P14784,P05771
348,P14784,P32927
349,P14784,Q02156
350,P14784,Q14289
351,P14784,O60674
352,P14784,P36507
353,P14784,P01589
354,P14784,P42336
355,P14784,P40933
356,P14784,Q02750
357,P56282,P49916
358,P56282,P31350
359,P56282,P18858
360,P56282,P12004
361,P56282,Q9NRF9
362,P56282,P04818
363,P56282,P09884
364,P56282,P23921
365,P56282,Q14181
366,P56282,Q13315
367,P56282,Q9NR33
368,P56282,P11388
369,P56282,P24941
370,P56282,P39748
371,P56282,Q07864
372,P06737,P22413
373,P06737,P04746
374,P06737,O43451
375,O15270,P34896
376,O15270,P34897
377,P46663,P30411
378,O15270,Q9GZT4
379,O15270,P35520
380,O15270,P21549
381,O15270,P20132
382,O15270,O15269
383,P46663,P00734
384,P25963,P28062
385,P25963,P06239
386,P25963,P01106
387,P25963,P01584
388,P25963,P42336
389,P25963,O15379
390,P25963,P05771
391,P25963,P20618
392,P25963,P05231
393,P25963,O00206
394,P25963,P35228
395,P25963,P40306
396,P25963,P19793
397,P25963,P01375
398,P25963,P17252
399,P25963,Q00653
400,P25963,P12931
401,P25963,P28074
402,P25963,P31749
403,P25963,P29597
404,P25963,O14920
405,P25963,P05412
406,P25963,P27361
407,P25963,Q05513
408,P25963,P49721
409,P25963,P04637
410,P25963,P27986
411,P25963,P29460
412,P25963,Q07869
413,P25963,O60674
414,P25963,Q04206
415,P25963,P19838
416,P25963,P28065
417,P25963,P00403
418,P25963,Q13547
419,P25963,Q16539
420,P25963,O15111
421,P25963,Q9NPF7
422,P25963,Q05655
423,P25963,P01138
424,P48637,P15144
425,P48637,P48507
426,P48637,P00390
427,P48637,P48506
428,Q9H4B7,P17302
429,Q9H4B7,Q71U36
430,Q9H4B7,P68366
431,Q9H4B7,P10636
432,P01178,P01189
433,P01178,P08908
434,P01178,P14416
435,P01178,P47901
436,P01178,P01100
437,P01178,P37288
438,P01178,P06850
439,P01178,P30559
440,O00264,P05177
441,O00264,P00533
442,O00264,P22830
443,O00264,P06401
444,O00264,P43220
445,P00740,P38435
446,P00740,P07359
447,P00740,P03951
448,P00740,P00748
449,P00740,P05067
450,P00740,P00742
451,P00740,P14770
452,P00740,P02768
453,P00740,P08709
454,P00740,P00451
455,P00740,P00734
456,P00740,P13726
457,P00740,P01008
458,P00740,P04275
459,Q9NSA2,Q13303
460,Q9NSA2,Q14722
461,P08253,P05231
462,P08253,P01189
463,P08253,Q02763
464,P08253,P00747
465,P08253,Q16552
466,P08253,P17936
467,P08253,P07900
468,P08253,P06756
469,P08253,P14780
470,P08253,P01023
471,P08253,P12931
472,P08253,P08123
473,P08253,P01137
474,P08253,P54760
475,P08253,P09038
476,P08253,P14210
477,P08253,P15692
478,P08253,P34741
479,P08253,Q9NPF7
480,P08253,P02452
481,P08253,O60603
482,Q02127,P22102
483,Q02127,P17812
484,Q02127,P27708
485,Q02127,P00374
486,P29372,Q96FI4
487,P29372,P03372
488,P23975,P07101
489,P23975,Q05940
490,P41240,P01133
491,P41240,P27986
492,P41240,P06241
493,P41240,P11274
494,P41240,P00533
495,P41240,P07948
496,P41240,P08631
497,P41240,P15692
498,P41240,P07947
499,P41240,P06239
500,P41240,P04229
501,P41240,P31994
502,P41240,P04234
503,P41240,P42336
504,P41240,P09769
505,P41240,P33151
506,P41240,P35968
507,P41240,P35916
508,P41240,Q14978
509,P41240,P12931
510,P41240,P17948
511,P00750,P07355
