,P1,P2
1272,P04070,P25116
1273,P04070,P02776
1274,P04070,P02671
1275,P11926,P15559
1276,P11926,P28065
1277,P11926,P49721
1278,P11926,Q5T6L4
1279,P11926,P28074
1280,P11926,P40306
1281,P11926,P20618
1282,P11926,P28062
1283,P11926,P19801
1284,P11926,P05089
1285,O60391,P62955
1286,O60391,Q05586
1287,O60391,Q13224
1288,P49591,P49589
1289,O60391,O15399
1290,O60391,Q12879
1291,O60391,Q14957
1292,O60391,P78352
1293,O60391,Q9Y698
1294,P49591,P41250
1295,P49591,Q9HA77
1296,P41143,P30542
1297,P41143,P30411
1298,P31939,Q99707
1299,Q32P28,P08123
1300,Q32P28,O15460
1301,Q32P28,P13674
1302,P31939,P20839
1303,P31939,P22234
1304,P31939,P30520
1305,P31939,P34897
1306,P31939,P34896
1307,P31939,P22102
1308,P31939,P12268
1309,P31939,P00374
1310,P31939,Q06203
1311,P31939,P04818
1312,P31939,Q8N142
1313,P31939,P00492
1314,P31939,P42898
1315,P31939,P49902
1316,P31939,P21589
1317,Q15842,Q09428
1318,Q15842,O60706
1319,Q15842,Q02156
1320,Q15842,P17302
1321,P04040,Q16881
1322,P04040,P00505
1323,P04040,P05091
1324,P04040,P31749
1325,P04040,O60760
1326,P04040,P30044
1327,P04040,P35228
1328,P04040,Q9UKG9
1329,P04040,O14832
1330,P04040,Q9BTZ2
1331,P04040,Q14032
1332,P04040,P14735
1333,P04040,P21549
1334,P04040,P43155
1335,P04040,P24298
1336,P04040,P00441
1337,P04040,P02768
1338,P04040,P99999
1339,P04040,Q9P0Z9
1340,P36888,P07900
1341,P36888,P08700
1342,P36888,P27986
1343,P36888,Q92569
1344,P36888,P42336
1345,P36888,P42338
1346,P36888,O00329
1347,P36888,P15692
1348,P36888,P09038
1349,P36888,P27824
1350,P36888,P01138
1351,P35869,Q15185
1352,P36888,P51692
1353,P35869,P03372
1354,P35869,P12931
1355,P35869,O75469
1356,P35869,P06400
1357,P35869,P08238
1358,P35869,P10275
1359,P35869,P14902
1360,P35869,P07900
1361,P35869,P35222
1362,P35869,Q04206
1363,P51857,P14060
1364,P51857,P11511
1365,P51857,P05093
1366,P51857,Q9H8P0
1367,P51857,O14756
1368,P51857,P80365
1369,P51857,P42330
1370,P51857,P08686
1371,P51857,P31213
1372,P51857,P19099
1373,P51857,P26439
1374,P51857,Q04828
1375,P51857,P18405
1376,P51857,P15538
1377,Q01064,P54750
1378,Q01064,P0DP23
1379,Q01064,P55263
1380,Q01064,Q14123
1381,Q07954,P00533
1382,Q07954,P05067
1383,Q07954,P06756
1384,Q07954,P02768
1385,Q07954,P07900
1386,Q07954,P04156
1387,Q07954,Q03405
1388,Q07954,P14625
1389,Q07954,P06858
1390,Q07954,P00749
1391,Q07954,P14780
1392,Q07954,P09619
1393,Q07954,P98164
1394,Q07954,P05106
1395,Q07954,P27797
1396,Q07954,P98160
1397,Q07954,P00451
1398,Q07954,P01023
1399,Q07954,P34741
1400,Q07954,P78352
1401,O00519,Q9Y2T6
1402,O00519,Q8NER1
1403,O00519,P21554
1404,P63252,Q12809
1405,P63252,Q9UNX9
1406,P63252,P15382
1407,P63252,Q13936
1408,P63252,Q14500
1409,P63252,O43525
1410,P63252,O43526
1411,P63252,P48050
1412,P63252,P25101
1413,P63252,Q14524
1414,P63252,Q9Y6J6
1415,P63252,Q9NR82
1416,P63252,P56696
1417,Q16647,O60760
1418,P63252,P48549
1419,Q16647,P24557
1420,Q16647,P41222
1421,Q16647,P23219
1422,Q16647,Q15185
1423,Q16647,P35354
1424,P00505,P17174
1425,P00505,P31040
1426,P00505,P14679
1427,P00505,P45381
1428,P00505,P80404
1429,P00505,P27708
1430,P00505,P07202
1431,P00505,P00439
1432,P00505,P00338
1433,P00505,Q9UGI5
1434,P00505,P07195
1435,P00505,P12104
1436,P00505,P11498
1437,P00505,P15144
1438,P00505,P32754
1439,P00505,Q5T6L4
1440,P00505,P48507
1441,P00505,P20711
1442,P00505,P30520
1443,P00505,Q9Y600
1444,P00505,P32929
1445,P00505,Q7L266
1446,P00505,P21549
1447,P00505,P21912
1448,P00505,Q16878
1449,P00505,Q8TD30
1450,P00505,Q8N142
1451,P00505,P07101
1452,P00505,P24298
1453,P43116,P35408
1454,O95977,P21453
1455,O95977,P27361
1456,P14854,P13073
1457,P14854,Q02221
1458,P14854,P15954
1459,P14854,P09669
1460,P14854,O95298
1461,P14854,P99999
1462,P14854,P21912
1463,P14854,P20674
1464,P14854,P10606
1465,P14854,P00414
1466,P14854,P10176
1467,P14854,P00403
1468,P14854,P24311
1469,P14854,P00395
1470,P14854,P24310
1471,P27824,P11021
1472,P27824,P30518
1473,P27824,P07900
1474,P27824,P14625
1475,P27824,P04234
1476,P27824,P27797
1477,P27824,P14679
1478,P27824,Q14697
1479,P27824,P31645
1480,P27824,P05231
1481,P68366,P08758
1482,P68366,P03372
1483,P68366,P10636
1484,P68366,P68371
1485,P68366,Q13509
1486,P68366,Q71U36
1487,P68366,P17302
1488,P68366,P07437
1489,P68366,P00441
1490,Q99705,Q99835
1491,P15153,P53779
1492,P15153,Q05655
1493,P15153,Q14289
1494,P15153,P45983
1495,P15153,P42684
1496,P15153,P14598
1497,P15153,Q15080
1498,P15153,P00441
1499,P15153,P00519
1500,P15153,P06241
1501,P15153,P27361
1502,P15153,Q04206
1503,P15153,P19878
1504,P15153,O00329
1505,P15153,P04839
1506,P15153,P31749
1507,P15153,P12931
1508,P15153,P45984
1509,P15153,P13498
1510,Q9NYV7,P41180
1511,Q99835,P31749
1512,Q99835,P32745
1513,Q99835,P17252
1514,O94788,Q6V0L0
1515,O94788,Q9BTZ2
1516,O94788,P05177
1517,O94788,O75911
1518,O94788,Q06278
1519,O94788,Q8TC12
1520,O94788,P00352
1521,O94788,Q96NR8
1522,O94788,O14756
1523,O94788,P08684
1524,P17752,P21397
1525,O94788,Q92781
1526,O94788,P47895
1527,P17752,P31645
1528,P17752,O60218
1529,P17752,P08908
1530,P17752,P14902
1531,P17752,P20711
1532,P17752,P28223
1533,P17752,P15121
1534,Q9UGN5,P06746
1535,P17752,P00374
1536,Q9UGN5,P42574
1537,Q9UGN5,P09874
1538,Q9UGN5,P39748
1539,Q9H6Z9,P05129
1540,Q9H6Z9,Q9GZT9
1541,Q9H6Z9,Q96KS0
1542,Q9H6Z9,P17252
1543,Q16878,P48507
1544,Q9H6Z9,P05771
1545,Q9H6Z9,Q16665
1546,Q16878,P32929
1547,Q16878,P17174
1548,Q16878,P15144
1549,Q16878,Q9Y600
1550,Q16878,Q9UGI5
1551,P69905,P68871
1552,P69905,Q9NZD4
1553,Q7LG56,P31350
1554,Q7LG56,P04818
1555,Q7LG56,P04637
1556,Q7LG56,P12004
1557,Q7LG56,Q13315
1558,Q7LG56,P23921
1559,Q7LG56,P30085
1560,P04049,Q02750
1561,P04049,P01106
1562,P04049,P08069
1563,P04049,P42336
1564,P04049,P51168
1565,P04049,P51170
1566,P04049,Q02156
1567,P04049,P11142
1568,P04049,P05771
1569,P04049,P31994
1570,P04049,P10415
1571,P04049,P12931
1572,P04049,P06400
1573,P04049,P05129
1574,P04049,P31749
1575,P04049,O00329
1576,P04049,P49841
1577,P04049,Q04206
1578,P04049,P51172
1579,P04049,Q01362
1580,P04049,Q92569
1581,P04049,P17252
1582,P04049,Q05513
1583,P04049,P27986
1584,P04049,P27361
1585,P04049,Q05655
1586,P04049,P08238
1587,P04049,P15056
1588,P04049,P06241
1589,P04049,P07900
1590,P04049,P67775
1591,P04049,P36507
1592,P04049,P00734
1593,P04049,P07948
1594,P04049,P42338
1595,P04049,O43252
1596,P04049,Q99623
1597,P04049,P37088
1598,P04049,P12319
1599,P22460,Q12809
1600,P22460,O95259
1601,P22460,P78352
1602,P22460,P12931
1603,P22460,Q14722
1604,P22460,Q13303
1605,P22460,Q9Y6J6
1606,Q9BXT2,Q9UBN1
1607,Q9BXT2,Q8WXS5
1608,Q9BXT2,O00305
1609,Q9BXT2,Q13936
1610,Q9BXT2,P62955
1611,Q9BXT2,Q01668
1612,Q9BXT2,P54284
1613,Q9BXT2,P54289
1614,Q9BXT2,Q7Z3S7
1615,Q9BXT2,O60840
1616,Q8TD43,O60939
1617,Q8TD43,Q14524
1618,Q9BXT2,Q13698
1619,Q8TD43,Q09428
1620,Q8TD43,Q07699
1621,Q8TD43,Q9Y5Y9
1622,Q8TD43,Q9NY72
1623,Q9NYX4,P21728
1624,Q9NR19,P05091
1625,Q9NR19,P11498
1626,Q9NR19,P24752
1627,Q9NR19,P05165
1628,Q9NR19,Q13085
1629,Q9NR19,P80404
1630,Q9NR19,Q96I99
1631,Q9NR19,Q06278
1632,Q9NR19,O00763
1633,Q9NR19,P05166
1634,Q9NR19,Q9P2R7
1635,Q9NR19,Q9NUB1
1636,P00748,P00734
1637,P00748,P03952
1638,P00748,P01008
1639,Q9NR19,P53597
1640,P00748,P03951
1641,P00748,P14770
1642,P00748,P07359
1643,P00748,P00747
1644,P10276,P10827
1645,P10276,P29590
1646,P10276,P45983
1647,P10276,P27361
1648,P10276,P48443
1649,P10276,Q13547
1650,P10276,O15379
1651,P10276,P17252
1652,P10276,P10826
1653,P10276,P19793
1654,P10276,P28702
1655,P10276,P10828
1656,P10276,P05129
1657,P10276,P31749
1658,P10276,P13631
1659,P10276,P11473
1660,O43741,P11142
1661,O43741,P42345
1662,O43741,P54619
1663,O43741,Q13085
1664,O43741,P04637
1665,O43741,P48357
1666,O43741,P54646
1667,O43741,O00763
1668,O43741,Q9UGJ0
1669,O43741,Q13131
1670,O43741,P04035
1671,O43741,Q9UGI9
1672,O43741,P10636
1673,O43741,Q14457
1674,P17931,O60603
1675,P17931,P02751
1676,P17931,P07355
1677,P17931,P35968
1678,P17931,P15144
1679,P17931,P27487
1680,P17931,P00533
1681,P17931,P35222
1682,P23469,P29597
1683,P17931,O00206
1684,P23469,P08887
1685,P23469,P23458
1686,P23469,P05231
1687,P16499,P35913
1688,P16499,P18545
1689,P16499,Q13956
1690,P20309,P41594
1691,P20309,P11229
1692,P20309,P08912
1693,Q9Y6L6,P08183
1694,Q9Y6L6,P02768
1695,Q9Y6L6,P08684
1696,Q9Y6L6,Q92887
1697,Q9Y6L6,Q9Y694
1698,Q9Y6L6,Q8TCC7
1699,Q9Y6L6,O95342
1700,P49286,P48039
1701,P20061,P07477
1702,P16234,P23458
1703,P16234,P12931
1704,P20061,P17538
1705,P16234,P42336
1706,P16234,O00329
1707,P16234,P15692
1708,P16234,P09038
1709,P16234,P42338
1710,P16234,Q92569
1711,P16234,P00533
1712,P16234,O60674
1713,P16234,P09619
1714,P16234,P27986
1715,P16234,P06756
1716,P16234,P01133
1717,Q9HA77,P41250
1718,Q9HA77,P49589
1719,P20132,P35520
1720,P20132,Q9GZT4
1721,P20132,O15269
1722,P20132,P34896
1723,P20132,P34897
1724,P20132,P21549
1725,P20132,Q99707
1726,P20132,Q04760
1727,P21589,P15144
1728,P20132,P32929
1729,P21589,P00813
1730,P21589,P29275
1731,P21589,P04818
1732,P21589,P00491
1733,P21589,P49902
1734,P21589,P00492
1735,P21589,P15391
1736,P21589,P19971
1737,P21589,P55263
1738,P21589,P22413
1739,P21589,P30542
1740,P21589,P12268
1741,P21589,P20839
1742,P21589,P29274
1743,Q92781,Q06278
1744,Q92781,Q8TC12
1745,Q92781,P00352
1746,Q92781,Q96NR8
1747,Q92781,O95237
1748,Q92781,P47895
1749,P11802,P07900
1750,P11802,P38936
1751,P11802,O60674
1752,P11802,P00519
1753,P11802,P04637
1754,P11802,P12004
1755,P11802,P07948
1756,P11802,Q13547
1757,P11802,Q13315
1758,P11802,P08238
1759,P11802,P61024
1760,P11802,Q00534
1761,P11802,P01106
1762,P11802,P49841
1763,P11802,P24941
1764,P11802,P42574
1765,P11802,P06400
1766,P11802,P12931
1767,Q9ULD8,Q9H3M0
1768,Q9ULD8,P48547
1769,Q9ULD8,O43525
1770,Q86W47,Q9UGI6
1771,Q86W47,Q9H2S1
1772,Q86W47,Q12791
1773,Q86W47,Q9NPA1
1774,Q86W47,Q92952
1775,Q86W47,Q16558
1776,Q86W47,O15554
1777,Q86W47,Q9Y691
1778,Q07001,P02708
1779,P41595,O95264
1780,P41595,P28335
1781,P41595,P28223
1782,P10606,P24310
1783,P10606,P00395
1784,P10606,P24311
1785,P10606,P00403
1786,P10606,P10275
1787,P10606,Q99643
1788,P10606,P20674
1789,P10606,P21912
1790,P10606,P10176
1791,P10606,O95298
1792,P10606,P09669
1793,P10606,P99999
1794,P10606,P15954
1795,P10606,P13073
1796,P10606,P00414
1797,P10606,Q02221
1798,P18510,P01583
1799,P18510,P05231
1800,P18510,P01584
1801,P18510,P20333
1802,P18510,P14778
1803,P18510,P21462
1804,P18510,P25105
1805,P02763,P02768
1806,P02763,P19652
1807,Q14032,Q9Y600
1808,Q14032,Q9P0Z9
1809,Q14032,P14735
1810,Q14032,P21549
1811,Q14032,P43155
1812,Q14032,Q9UKG9
1813,Q14032,P35228
1814,Q14032,Q9BTZ2
1815,O75899,Q9UBS5
1816,Q14032,Q9UGI5
1817,O75899,P47869
1818,Q14032,Q6IB77
1819,O75899,P18507
1820,O75899,P28472
1821,O75899,P78334
1822,O75899,P48169
1823,O75899,P18505
1824,O75899,P47870
1825,O75899,P14867
1826,O60603,O15111
1827,O60603,P42081
1828,O60603,P00533
1829,O60603,P09429
1830,O60603,P07948
1831,O60603,Q04206
1832,O60603,P61073
1833,O60603,P14625
1834,O60603,P27986
1835,O60603,O14920
1836,O60603,P01375
1837,O60603,Q9Y6Y9
1838,O60603,Q9NR96
1839,O60603,P04839
1840,O60603,O00206
1841,O60603,P01584
1842,O60603,P11142
1843,O60603,Q16552
1844,O60603,P05231
1845,O60603,P29466
1846,O95264,P46098
1847,O95264,Q8WXA8
1848,O95264,Q70Z44
1849,P10109,P99999
1850,P10109,P15121
1851,P10109,Q9Y697
1852,P10109,Q16595
1853,P10109,P05108
1854,P10109,P15538
1855,P02708,P12931
1856,P02708,P05412
1857,P02708,P11229
1858,P06756,P16410
1859,P06756,P02679
1860,P06756,P08123
1861,P06756,P02675
1862,P06756,P12931
1863,P06756,P02458
1864,P06756,P02751
1865,P06756,P08069
1866,P06756,P42336
1867,P06756,P33681
1868,P06756,P06239
1869,P06756,P07947
1870,P06756,P02671
1871,P06756,P35968
1872,P06756,P26010
1873,P06756,P09429
1874,P06756,P63000
1875,P06756,P05106
1876,P06756,P15692
1877,P06756,P08514
1878,P06756,Q14289
1879,P06756,P37173
1880,P06756,P04275
1881,P06756,P09038
1882,P06756,P07333
1883,P06756,P00749
1884,P06756,P27986
1885,P06756,Q03405
1886,P06756,P13612
1887,P06756,P20701
1888,P06756,P02461
1889,P06756,P06241
1890,P06756,P09619
1891,P06756,P27361
1892,P06756,P07900
1893,P25092,O76074
1894,Q9NPD5,Q92887
1895,Q9NPD5,Q8TCC7
1896,Q9NPD5,O95342
1897,Q9NPD5,Q9Y694
1898,O60706,Q14654
1899,P04275,P05154
1900,P04275,P16109
1901,P04275,P00742
1902,P04275,P02768
1903,P04275,P01133
1904,P04275,P00734
1905,P04275,P35968
1906,P04275,P01008
1907,P04275,P08514
1908,P04275,P07204
1909,P04275,P16581
1910,P04275,P15692
1911,P04275,P05106
1912,P04275,P14770
1913,P04275,P18031
1914,P04275,P00747
1915,P04275,P07359
1916,P04275,P08709
1917,P04275,P00451
1918,P04275,P33151
1919,P04275,P02776
1920,P04275,P13726
1921,P04275,P02751
1922,P07686,P17050
1923,O43766,Q9Y697
1924,O43766,Q9Y234
1925,P13498,P19878
1926,P13498,P04839
1927,P13498,P63000
1928,P13498,P12931
1929,P13498,P31749
1930,P13498,P19320
1931,P13498,P14598
1932,P13498,Q15080
1933,P13498,Q05655
1934,P13498,Q8NFA2
1935,P31645,P34969
1936,P31645,P08908
1937,P31645,Q05940
1938,P31645,P14416
1939,P31645,P05106
1940,P31645,P21397
1941,P31645,P28222
1942,P31645,P28335
1943,P05091,Q9NUB1
1944,P31645,P21964
1945,P31645,P28223
1946,P31645,P67775
1947,P05091,P00325
1948,P05091,P21397
1949,P05091,P21964
1950,P05091,O75936
1951,P05091,P15104
1952,P05091,P50440
1953,P05091,P27338
1954,P05091,P46597
1955,P05091,P15121
1956,P05091,P80404
1957,P05091,P19801
1958,P05091,P00326
1959,P05091,Q16853
1960,P30926,P32297
1961,P30926,O60674
1962,P30926,Q9UGM1
1963,P30926,P36544
1964,P30926,Q15825
1965,P30926,P43681
1966,P30926,Q15822
1967,P30926,P17787
1968,P30926,P30532
1969,P30926,Q05901
1970,P09619,P09038
1971,P09619,P51692
1972,P09619,P18031
1973,P09619,P07947
1974,P09619,P42338
1975,P09619,P05106
1976,P09619,P15692
1977,P09619,P21453
1978,P09619,P08631
1979,P09619,P63000
1980,P09619,P07948
1981,P09619,Q92569
1982,P09619,O60674
1983,P09619,P00519
1984,P09619,P00533
1985,P09619,P06241
1986,P09619,P01133
1987,P09619,P00749
1988,P09619,Q03405
1989,P09619,P27986
1990,P09619,P05230
1991,P09619,P23458
1992,P09619,P31749
1993,P09619,P12931
1994,P09619,O00329
1995,P09619,P42336
1996,P09619,P06239
1997,P09619,P09769
1998,Q16659,P49721
1999,Q16659,P05412
2000,Q16659,P28065
2001,P35916,P35968
2002,Q16659,P20618
2003,Q16659,P40306
2004,Q16659,P28074
2005,Q16659,P28062
2006,P35916,P12931
2007,P35916,P17948
2008,P35916,P49765
2009,P35916,P08123
2010,P35916,P09038
2011,P35916,P15692
2012,P35916,P33151
2013,P35916,P02751
2014,P35916,P49763
2015,P35916,P42336
2016,P35916,P13612
2017,P35916,O14786
2018,P35916,P01133
2019,P35916,P27986
2020,P18846,P15336
2021,P18846,P18848
2022,P18846,P16220
2023,Q9UBN1,Q13698
2024,Q9UBN1,O00305
2025,Q9UBN1,Q7Z3S7
2026,Q9UBN1,P42262
2027,Q9UBN1,Q13936
2028,Q9UBN1,Q02641
2029,Q9UBN1,P62955
2030,Q9UBN1,P54284
2031,Q9UBN1,P42261
2032,Q9UBN1,Q01668
2033,Q9UBN1,O60840
2034,Q9UBN1,Q00975
2035,Q9UBN1,P54289
2036,Q9UBN1,Q05586
2037,Q9UBN1,Q8WXS5
2038,Q9UBN1,P42263
2039,Q9UBN1,Q13555
2040,Q9UBN1,Q15878
2041,Q12809,Q8WWG9
2042,Q12809,Q9UK17
2043,Q12809,P15382
2044,Q9UBN1,O95180
2045,Q12809,Q14721
2046,Q12809,P48547
2047,Q12809,Q13936
2048,Q12809,Q9Y6H6
2049,Q12809,P07900
2050,Q12809,Q03721
2051,Q12809,Q9UJ90
2052,Q12809,Q9NZV8
2053,Q12809,Q9H252
2054,Q12809,P56696
2055,Q12809,Q14524
2056,Q12809,Q09470
2057,Q12809,Q9Y6J6
2058,Q12809,P17948
2059,Q12809,P22459
2060,Q12809,O43526
2061,Q12809,P16389
2062,Q12809,P22001
2063,P20618,P28062
2064,P20618,P05120
2065,P20618,P40306
2066,P20618,P00441
2067,P20618,P28074
2068,P20618,P28065
2069,P20618,P49721
2070,P20618,Q04206
2071,O75762,Q8NER1
2072,O75762,Q9NYK1
2073,O75762,Q7Z2W7
2074,O75762,Q02156
2075,P20138,P15391
2076,P20138,P15144
2077,P20138,P26951
2078,P43005,P46059
2079,P43005,P30531
2080,P08514,O15530
2081,P08514,Q14289
2082,P08514,P31749
2083,P08514,P02679
2084,P08514,P00734
2085,P08514,P12931
2086,P08514,P23458
2087,P08514,Q13547
2088,P08514,P02671
2089,P08514,P51692
2090,P08514,P10415
2091,P08514,P02751
2092,P08514,P02675
2093,P08514,P42336
2094,P08514,P40238
2095,P08514,P18031
2096,P08514,P05106
2097,P08514,P14770
2098,P08514,P06241
2099,P08514,P26010
2100,P08514,P06239
2101,P08514,P07359
2102,P08514,P16109
2103,P08514,P52333
2104,P08514,P27986
2105,O95838,P43220
2106,P08514,P31785
2107,O15269,P34896
2108,O15269,P34897
2109,O15269,P21549
2110,O15269,P35520
2111,O15269,Q9GZT4
2112,P20648,P25021
2113,P20648,P33261
2114,Q92569,P00533
2115,Q92569,O00206
2116,Q92569,O60674
2117,Q92569,P42336
2118,Q92569,Q05513
2119,Q92569,P08069
2120,Q92569,P10827
2121,Q92569,P42345
2122,Q92569,P27986
2123,Q92569,P06241
2124,Q92569,Q15303
2125,Q92569,P12931
2126,Q92569,P06213
2127,Q92569,Q06187
2128,Q92569,P04626
2129,Q92569,P15391
2130,Q92569,P11362
2131,Q92569,P06401
2132,Q92569,P31749
2133,Q92569,Q05655
2134,Q92569,P04629
2135,Q92569,P35968
2136,Q92569,O15530
2137,Q92569,O00329
2138,Q92569,P10721
2139,Q92569,Q08881
2140,O15554,Q9NPA1
2141,Q92569,P07948
2142,Q92569,P42338
2143,Q92569,P10828
2144,O15554,P0DP23
2145,O15554,P22001
2146,O15554,Q9Y6H6
2147,O15554,Q16558
2148,O15554,Q92952
2149,O15554,Q9H2S1
2150,O15554,Q9UGI6
2151,O15554,Q9Y691
2152,O15554,Q12791
2153,Q16478,P78352
2154,Q16478,Q13002
2155,P56696,P48050
2156,P56696,O43525
2157,P56696,P0DP23
2158,P56696,O43526
2159,P56696,Q13303
2160,P56696,Q14722
2161,P56696,Q9NR82
2162,P56696,Q14500
2163,P56696,P15382
2164,P56696,Q9UNX9
2165,P36507,P47712
2166,P36507,P42336
2167,P36507,P05231
2168,P36507,Q02750
2169,P36507,P31785
2170,P36507,P45984
2171,P36507,P06239
2172,P36507,P23458
2173,P36507,P49841
2174,P36507,Q15759
2175,P36507,P08887
2176,P36507,P27986
2177,P36507,P27361
2178,P36507,P01589
2179,P36507,P15056
2180,P36507,P45983
2181,P36507,P29597
2182,P36507,P52333
2183,P36507,P63000
2184,P36507,P53779
2185,P36507,Q05655
2186,P36507,P00734
2187,P36507,P67775
2188,P27361,Q04759
2189,P27361,P62937
2190,P27361,O95750
2191,P27361,P10912
2192,P27361,P08581
2193,P27361,P01100
2194,P27361,P63000
2195,P27361,P07948
2196,P27361,P05106
2197,P27361,Q9Y5K3
2198,P27361,P21453
2199,P27361,P48443
2200,P27361,P67775
2201,P27361,P09038
2202,P27361,P14598
2203,P27361,P08238
2204,P27361,P17302
2205,P27361,P01138
2206,P27361,P15336
2207,P27361,P00734
2208,P27361,Q05655
2209,P27361,P51692
2210,P27361,P05230
2211,P27361,P07900
2212,P27361,P29597
2213,P27361,P05412
2214,P27361,P29475
2215,P27361,P52333
2216,P27361,Q07869
2217,P27361,P15056
2218,P27361,Q15303
2219,P27361,Q15080
2220,P27361,P99999
2221,P27361,Q05513
2222,P27361,O60674
2223,P27361,P04637
2224,P27361,P01133
2225,P27361,Q04206
2226,P27361,P21802
2227,P27361,P45983
2228,P27361,P00533
2229,P27361,P22607
2230,P27361,P16220
2231,P27361,P08887
2232,P27361,P05067
2233,P27361,P01589
2234,P27361,Q99500
2235,P27361,Q15185
2236,P27361,P04839
2237,P27361,O14939
2238,P27361,P42574
2239,P27361,P10828
2240,P27361,P19793
2241,P27361,P28702
2242,P27361,P10636
2243,P27361,P02751
2244,P27361,Q15759
2245,P27361,P34741
2246,P27361,P17252
2247,P27361,O14746
2248,P27361,P03372
2249,P27361,P22455
2250,P27361,O95644
2251,P27361,P19878
2252,P27361,P10415
2253,P27361,P04629
2254,P27361,P06401
2255,P27361,P23458
2256,P27361,P10826
2257,P27361,P49585
2258,P27361,P05129
2259,P27361,P31749
2260,P27361,P12931
2261,P27361,P06400
2262,P27361,P11362
2263,P27361,Q92731
2264,P27361,P06239
2265,P27361,P04054
2266,P27361,P51812
2267,P27361,P31785
2268,P27361,Q02156
2269,P27361,P13631
2270,P27361,P19634
2271,P27361,O00206
2272,P27361,P05231
2273,P27361,Q02750
2274,P27361,P05771
2275,P27361,Q16665
2276,P27361,P24941
2277,P27361,P47712
2278,P27361,P01106
2279,P27361,P08069
2280,P45381,Q8N142
2281,P45381,Q9UGI5
2282,P45381,Q03154
2283,P45381,P27708
2284,P45381,P17174
2285,P45381,Q7L266
2286,P45381,P15104
2287,P45381,P30520
2288,O14939,P06241
2289,P45381,Q5T6L4
2290,O14939,Q13393
2291,O14939,Q02763
2292,O14939,P35372
2293,O14939,P23743
2294,O14939,P84077
2295,O14939,P12319
2296,O14939,P47712
2297,O14939,P05771
2298,O14939,P05129
2299,O14939,Q92482
2300,O14939,Q01362
2301,O14939,P17252
2302,Q04759,P42081
2303,Q04759,Q14289
2304,Q04759,Q05655
2305,Q04759,P07948
2306,Q04759,O15111
2307,Q04759,P53779
2308,Q04759,O15530
2309,Q04759,Q04206
2310,Q04759,P45983
2311,Q04759,P12931
2312,Q04759,O14920
2313,Q04759,P33681
2314,Q04759,P42574
2315,Q04759,Q02156
2316,Q04759,P05771
2317,Q04759,P04229
2318,Q04759,P42336
2319,Q04759,P45984
2320,Q04759,P06239
2321,Q04759,P04234
2322,O15399,P12931
2323,O15399,P42263
2324,O15399,Q9Y698
2325,O15399,Q13224
2326,O15399,P42261
2327,O15399,P78352
2328,O15399,P56373
2329,O15399,P42262
2330,O15399,Q8TCU5
2331,O15399,P62955
2332,O15399,Q05586
2333,O15399,Q99572
2334,O15399,Q99571
2335,O15399,Q12879
2336,O15399,O15547
2337,O15399,P29475
2338,O15399,Q14957
2339,P18858,P23921
2340,P18858,Q07864
2341,P18858,P39748
2342,P18858,P04818
2343,P18858,P09884
2344,P18858,P06746
2345,P18858,P12004
2346,P18858,Q14181
2347,P56373,Q99571
2348,P56373,Q8NER1
2349,P56373,Q99572
2350,P56373,Q05586
2351,P56373,P41231
2352,P56373,Q14957
2353,P56373,O15547
2354,P56373,Q12879
2355,P56373,P51582
2356,P14679,P17174
2357,P14679,Q01726
2358,P14679,P20711
2359,P14679,P07202
2360,P14679,P05771
2361,P14679,P07101
2362,P14679,P00439
2363,P01583,P01375
2364,P01583,Q00653
2365,P01583,O15111
2366,P01583,P01100
2367,P01583,Q99584
2368,P01583,Q08828
2369,P01583,Q04206
2370,P01583,O00206
2371,P01583,P14778
2372,P01583,P05231
2373,P01583,P08700
2374,P01583,P01584
2375,P01583,P01374
2376,P01583,P05412
2377,P01583,P29466
2378,P01583,Q16552
2379,P01584,P42081
2380,P01584,Q15759
2381,P01584,P35354
2382,P01584,P42574
2383,P01584,P09429
2384,P01584,P15692
2385,P01584,P01375
2386,P01584,Q00653
2387,P01584,P01023
2388,P01584,O14788
2389,P01584,Q9NR96
2390,P01584,P19320
2391,P01584,P29597
2392,P01584,P05412
2393,P01584,P29466
2394,P01584,P01374
2395,P01584,P05362
2396,P01584,P02768
2397,P01584,P14780
2398,P01584,P08700
2399,P01584,P27986
2400,P01584,Q16552
2401,P01584,P42336
2402,P01584,P40933
2403,P01584,P14778
2404,P01584,O60674
2405,P01584,P05231
2406,P01584,Q04206
2407,P01584,O00206
2408,P01584,P35228
2409,P30043,Q969G6
2410,P05129,Q01959
2411,P05129,P07948
2412,P05129,Q96KS0
2413,P05129,P48443
2414,P05129,P42574
2415,P05129,O60733
2416,P05129,Q9GZT9
2417,P05129,P19793
2418,P05129,P17252
2419,P05129,P01100
2420,P05129,P28702
2421,P05129,P12931
2422,P05129,P14598
2423,P05129,P17302
2424,P05129,O00555
2425,P05129,Q14643
2426,P05129,P42261
2427,P05129,Q14289
2428,P05129,P42263
2429,P05129,Q13393
2430,P05129,P15056
2431,P05129,P62955
2432,P05129,P42345
2433,P05129,Q14573
2434,P05129,Q14571
2435,P05129,P19634
2436,P05129,P05771
2437,P05129,P42262
2438,P13674,P02458
2439,P13674,O15460
2440,P13674,P02461
2441,P13674,Q8IVL6
2442,P13674,P08123
2443,P13674,Q8IVL5
2444,P31025,P05090
2445,P16109,P07359
2446,P16109,P05362
2447,P16109,P19320
2448,P16109,P02776
