,G1,G2
244,TNFRSF1A,SRC
245,TNFRSF1A,MAP3K1
246,TNFRSF1A,PPARG
247,TNFRSF1A,FAS
248,TNFRSF1A,FASLG
249,TNFRSF1A,IL10
250,TNFRSF1A,NFKBIA
251,TNFRSF1A,MAP3K5
252,TNFRSF1A,HDAC3
253,TNFRSF1A,IKBKG
254,TNFRSF1A,CRADD
255,TNFRSF1A,IRAK1
256,TNFRSF1A,TRAF1
257,TNFRSF1A,MAP2K6
258,TNFRSF1A,TNIK
259,TNFRSF1A,PIDD1
260,TNFRSF1A,JAK2
261,TNFRSF1A,TNFRSF1B
262,TNFRSF1A,ERAP1
263,TNFRSF1A,CAV1
264,TNFRSF1A,BIRC2
265,TNFRSF1A,MAP2K3
266,TNFRSF1A,STAT1
267,TNFRSF1A,MAP2K7
268,TNFRSF1A,NFKB1
269,TNFRSF1A,RELA
270,TNFRSF1A,LTA
271,TNFRSF1A,SQSTM1
272,TNFRSF1A,CASP8
273,TNFRSF1A,TIMP1
274,TNFRSF1A,BID
275,TNFRSF1A,BIRC3
276,TNFRSF1A,HSPA4
277,TNFRSF1A,MAP2K4
278,TNFRSF1A,TRAF6
279,KRT14,KRT5
280,FGF4,NRAS
281,FGF4,KRAS
282,FGF4,ANOS1
283,FGF4,MAPK1
284,FGF4,FGFR1
285,FGF4,MAPK3
286,FGF4,HRAS
287,FGF4,FGFR2
288,FGF4,FGFR3
289,ST6GAL1,MUC5AC
290,ST6GAL1,MUC1
291,ST6GAL1,MUC4
292,KEAP1,LZTR1
293,KEAP1,HMOX1
294,KEAP1,EIF2AK3
295,KEAP1,SQSTM1
296,KEAP1,PTMA
297,KEAP1,PRKCA
298,KEAP1,IKBKB
299,KEAP1,AKT1
300,KEAP1,GCLC
301,KEAP1,PRKCB
302,KEAP1,PALB2
303,KEAP1,NFE2L2
304,KEAP1,SPOP
305,NGFR,NTF4
306,NGFR,RAC1
307,NGFR,IKBKG
308,NGFR,NFKBIA
309,NGFR,NTRK3
310,NGFR,CASP3
311,NGFR,E2F1
312,NGFR,NTF3
313,NGFR,IKBKB
314,NGFR,CASP2
315,NGFR,NTRK2
316,NGFR,BDNF
317,NGFR,ACKR1
318,NGFR,NGF
319,NGFR,MAG
320,NGFR,NTRK1
321,NGFR,RTN4
322,NGFR,GRB2
323,NGFR,PIK3R1
324,NGFR,YWHAE
325,NGFR,TRAF6
326,NGFR,SQSTM1
327,NGFR,MAPK8
328,NGFR,PSEN2
329,NGFR,ARHGDIA
330,NGFR,PSEN1
331,NGFR,HRAS
332,NGFR,RHOA
333,NGFR,APP
334,NGFR,NDN
335,NGFR,PIK3CA
336,NGFR,IRAK1
337,NGFR,MYD88
338,NGFR,TP53
339,SCT,ADCYAP1
340,SCT,GAST
341,SCT,CCK
342,SCT,VIP
343,SCT,GCG
344,SCT,GNAS
345,SCT,SST
346,TBX21,GZMB
347,TBX21,RUNX3
348,TBX21,BCL6
349,TBX21,RUNX1
350,TBX21,GATA3
351,CPB2,C3
352,CPB2,F2R
353,CPB2,F2
354,CPB2,AGT
355,CPB2,PLG
356,NME8,DNAI1
357,NME8,MSRA
358,NME8,DNAI2
359,HSD17B2,HSD17B1
360,HSD17B2,HSD3B2
361,HSD17B2,CYP11B2
362,HSD17B2,CYP11B1
363,HSD17B2,SRD5A1
364,HSD17B2,CYP17A1
365,HSD17B2,SRD5A2
366,HSD17B2,CYP1A1
367,HSD17B2,AKR1C3
368,HSD17B2,CYP19A1
369,HSD17B2,CYP3A5
370,HSD17B2,CYP1B1
371,HSD17B2,CYP3A4
372,HSD17B2,HSD3B1
373,ITGB4,ITGA6
374,ITGB4,PMP22
375,ITGB4,MET
376,ITGB4,YWHAZ
377,ITGB4,ITGA7
378,ITGB4,PTK2
379,ITGB4,EGF
380,ITGB4,PIK3R1
381,ITGB4,CASP7
382,ITGB4,COL17A1
383,ITGB4,ITGA4
384,ITGB4,HRAS
385,ITGB4,EGFR
386,ITGB4,CDH1
387,ITGB4,GRB2
388,ITGB4,AKT1
389,ITGB4,LAMA2
390,ITGB4,SRC
391,ITGB4,ERBB3
392,ITGB4,CASP3
393,ITGB4,ITGA2
394,ITGB4,LAMA1
395,ITGB4,DST
396,ITGB4,PRKCA
397,ITGB4,LAMC2
398,ITGB4,PIK3CA
399,ITGB4,ITGA8
400,ITGB4,ITGA1
401,ITGB4,ITGB1
402,ITGB4,LAMB1
403,ITGB4,YWHAE
404,CETP,LPL
405,CETP,APOA1
406,CETP,LIPC
407,CETP,APOB
408,CETP,APOC3
409,CETP,RXRB
410,CETP,PON1
411,CETP,APOC2
412,CETP,APOE
413,CETP,APOA5
414,SULT2B1,HSD3B2
415,SULT2B1,STS
416,SULT2B1,CYP11A1
417,SULT2B1,CYP1A1
418,SULT2B1,CYP1A2
419,SULT2B1,CYP17A1
420,SULT2B1,AKR1C3
421,SULT2B1,HSD3B1
422,SULT2B1,FLACC1
423,SULT2B1,CYP3A5
424,SULT2B1,CYP3A4
425,THPO,PIK3CA
426,THPO,STAT3
427,THPO,STAT1
428,THPO,JAK2
429,THPO,CSF3
430,THPO,STAT5B
431,THPO,EPO
432,THPO,IL3
433,THPO,STAT5A
434,THPO,GRB2
435,THPO,MPL
436,THPO,PIK3R1
437,APOH,AMBP
438,APOH,APOA4
439,APOH,APOA1
440,APOH,APOC3
441,APOH,APOB
442,APOH,HP
443,APOH,LRP8
444,APOH,F2
445,APOH,APOE
446,TGM1,IVL
447,FMO2,CYP3A4
448,FMO2,CYP2D6
449,SIRT1,HDAC4
450,SIRT1,TP73
451,SIRT1,NCOA2
452,SIRT1,HIC1
453,SIRT1,PPARA
454,SIRT1,JUN
455,SIRT1,ARNT
